opid,operator,atype,remarks,phase_of_flt,date,state,height,speed,effect,sky,species,birds_struck
USA,US AIRWAYS,DHC8 DASH 8,"NO DAMAGE TO AC, BUT THE DEER WAS FATALLY INJURED.",Landing Roll,11/15/1992 0:00:00,PA,0.0,105.0,None,,WHITE-TAILED DEER,1
UNK,UNKNOWN,MOONEY-20B/C,VERY HAZY,Climb,6/29/1990 0:00:00,WV,500.0,150.0,Precautionary Landing,Some Cloud,HAWKS,1
COM,COMAIR AIRLINES,EMB-120,FLT 4523.,Approach,10/11/1990 0:00:00,AL,2600.0,150.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,B-737-400,ENGINE INTAKE AREA CLEANED OF DEBRIS. ENGINE RUN UP TO CHECK  PERFORMANCE PARAMETERS. ENGINE CHECKED & RELEASED FOR SERVICE BY  MAINT. DEPTD 1 HR LATER.,Approach,2/27/1994 0:00:00,FL,400.0,135.0,None,No Cloud,GULLS,1
USA,US AIRWAYS,FK-28-4000,,Climb,10/19/1990 0:00:00,NC,500.0,146.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,ATR-42,NO RETPD BIRDS IN AREA.,Take-off run,9/13/1990 0:00:00,PA,0.0,120.0,None,Some Cloud,EUROPEAN STARLING,1
AAL,AMERICAN AIRLINES,B-727,NO DAMAGE/INJURY. FLT 1309.,Climb,3/9/1991 0:00:00,TN,75.0,170.0,None,Some Cloud,BLACKBIRDS,1
UNK,UNKNOWN,PA-34 SENECA,"LE RT WING, OTBD OF ENG #2 HAD DENT/DEPRESSION.",Approach,9/16/1990 0:00:00,GA,800.0,110.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,DC-9,NO DAMAGE TO A/C.  HIT CO/P'S WINDSCREEN.FLT1247,Climb,7/27/1992 0:00:00,NY,50.0,160.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-737-300,"AFTER MAIN GEAR T/D, STRUCK 4 OR 5 BIRDS BENEATH & BEHIND  COCKPIT.  NOSE WHEEL T/D & ROLLOUT WERE UNEVENTFUL. AFTER  SHUTDOWN, MAINT FOUND 3 OR 4 STRIKES BUT NO DAMAGE NOTED.",Landing Roll,12/7/1990 0:00:00,NV,0.0,130.0,None,Some Cloud,UNKNOWN BIRD - SMALL,2-10
GOV,GOVERNMENT,T-38A,(ARPT CODE CHANGED FROM KX68 TO KTTS),Approach,11/14/1990 0:00:00,FL,2.0,150.0,None,Some Cloud,TREE SWALLOW,2-10
USA,US AIRWAYS,DC-9-30,BIRDSTRIKE WAS SEEN BY ANOTHER A/C--NO DAMAGE.,Taxi,6/7/1991 0:00:00,TX,0.0,12.5,None,Overcast,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,B-757-200,"NO DAMAGE. BIRD REPTD AS GOOSE, ASSUME CAGO.",Approach,11/12/1990 0:00:00,IL,4000.0,180.0,None,No Cloud,CANADA GOOSE,2-10
UNK,UNKNOWN,G-159,NO DAMAGE.,Approach,11/12/1990 0:00:00,TN,500.0,120.0,None,,UNKNOWN BIRD - SMALL,1
RBD,TRANS WORLD EXPRESS,ATR-42,PILOT UNSURE HE HAD A BIRD STRIKE. RWY CHECK FOUND  RED-TAILED HAWK.,Approach,4/24/1992 0:00:00,NY,100.0,135.0,None,Overcast,RED-TAILED HAWK,1
JAL,JAPAN AIRLINES,B-747-1/200,SMALL BLACK BIRD STRUCK RADOME.  NO DAMAGE OR TIME OUT OF  SERVICE. JUST REQUIRED CLEANING.,Climb,9/21/1990 0:00:00,WA,3000.0,180.0,None,No Cloud,SWALLOWS,1
TWA,TRANS WORLD AIRLINES,B-727-200,FLT 548. TIME = 1225Z. NO DAMAGE REPTD.,Climb,12/15/1993 0:00:00,LA,25.0,150.0,None,No Cloud,UNKNOWN BIRD,1
UNK,UNKNOWN,UNKNOWN,CONTD NORMAL FLT.  NO VISIBLE DAMAGE ON INSPN AFTER LANDING.,Climb,9/16/1993 0:00:00,MD,20.0,110.0,None,Overcast,GULLS,1
NWA,NORTHWEST AIRLINES,B-727,"SAW TOO LATE TO TAKE EVASIVE ACTION.  HIT NOSE, WINDSHIELD,  & RADOME. TIME = 2345 GMT.",Landing Roll,6/20/1990 0:00:00,MN,0.0,105.0,None,Some Cloud,BLACKBIRDS,2-10
NAE,NASHVILLE EAGLE,DHC7 DASH 7,NO VISIBLE DAMAGE REPORTED BY PILOT.,Approach,8/19/1991 0:00:00,WI,10.0,106.0,None,Some Cloud,AMERICAN KESTREL,1
UNK,UNKNOWN,PA-46 MALIBU,LARGE HOLE IN LE LEFT WING.  ENGINE STOPPED.,Descent,11/20/1990 0:00:00,FL,3000.0,140.0,Engine Shut Down,Some Cloud,UNKNOWN BIRD,1
UAL,UNITED AIRLINES,B-737,NO DAMAGE REPTD.,Take-off run,8/3/1993 0:00:00,OR,0.0,120.0,None,,KILLDEER,1
EGF,AMERICAN EAGLE AIRLINES,SAAB-340,NAE 7961.,Approach,7/28/1993 0:00:00,TN,15.0,115.0,None,Overcast,UNKNOWN BIRD - LARGE,2-10
BUS,BUSINESS,C-310,TIME = 2238Z,Landing Roll,7/29/1993 0:00:00,OH,0.0,105.0,None,Some Cloud,GULLS,2-10
NAE,NASHVILLE EAGLE,SHORTS 360,DAMAGE UNKN -  NONE REPORTED. TIME = 1830L. UNKN WHAT PART  STRUCK.,Take-off run,7/8/1991 0:00:00,NY,0.0,120.0,None,Some Cloud,UNKNOWN BIRD - SMALL,11-100
AAL,AMERICAN AIRLINES,B-727-200,NO DAMAGE. BIRD WAS LIGHT IN COLOR.,Approach,9/24/1993 0:00:00,GA,3.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
PVT,PRIVATELY OWNED,BE-300 KING,PILOT STATES VERY LITTLE DAMAGE. EXHAUST STACK AND AIR INTAKE,Take-off run,11/28/1993 0:00:00,FL,0.0,120.0,None,Some Cloud,EGRETS,2-10
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE. TIME = 2108 LCL,Take-off run,8/5/1991 0:00:00,NC,0.0,140.0,None,Some Cloud,UNKNOWN BIRD,1
TWA,TRANS WORLD AIRLINES,B-727,ATIS WARNING.,Approach,10/20/1993 0:00:00,NE,3000.0,230.0,None,No Cloud,UNKNOWN BIRD - SMALL,2-10
DAL,DELTA AIR LINES,B-737-200,,Landing Roll,1/19/1994 0:00:00,AL,0.0,120.0,None,Overcast,UNKNOWN BIRD - LARGE,1
MRK,MARKAIR,B-737-200,"L LE WAS DENTED ABOVE KRUGER FLAP HINGE LINE. RESTORED LE TO  ORIGINAL CONTOUR, & INSTALLED DOUBLER PER SRM57-30-4.  DAMAGE WAS  LOCATED AT L/E STATION 139.06 THRU 149.0. REPTD AS EAGLE, ASSUME  BALD.",Approach,3/18/1991 0:00:00,AK,400.0,130.0,None,Some Cloud,BALD EAGLE,1
BUS,BUSINESS,C-152,,Approach,8/23/1990 0:00:00,OH,10.0,135.0,None,Overcast,UNKNOWN BIRD - SMALL,1
PAA,PAN AM,B-727-200,NO DAMAGE FLT 714,Approach,8/9/1990 0:00:00,PA,50.0,130.0,None,Overcast,UNKNOWN BIRD - SMALL,1
PVT,PRIVATELY OWNED,C-152,,Climb,7/16/1993 0:00:00,KY,10.0,75.0,Precautionary Landing,Overcast,HAWKS,1
PAA,PAN AM,B-727-200,"CRUSHED RADOME, MINOR DAMAGE. A/C RETD TO MIA FOR REPAIRS.",Climb,11/25/1990 0:00:00,FL,1300.0,200.0,Precautionary Landing,Some Cloud,GULLS,1
COA,CONTINENTAL AIRLINES,B-727,FLT 1063. NO REPTD DAMAGE. TIME = 1340LCL.,Landing Roll,10/13/1993 0:00:00,TX,0.0,105.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE REPTD.  TAXIED IN FOR INSPN CONTD FLT.,Take-off run,8/26/1991 0:00:00,NC,0.0,90.0,Aborted Take-off,Overcast,UNKNOWN BIRD - MEDIUM,2-10
UAL,UNITED AIRLINES,B-737,FLT 1044 HAD NO DAMAGE.,Approach,8/16/1990 0:00:00,WA,300.0,135.0,None,No Cloud,NORTHERN ROUGH-WINGED SWALLOW,1
USA,US AIRWAYS,B-737-300,,Approach,8/16/1993 0:00:00,FL,10.0,135.0,None,Overcast,SPARROWS,1
AAL,AMERICAN AIRLINES,B-727,FLT 140. NO DAMAGE.,Approach,9/25/1990 0:00:00,TN,200.0,125.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,B-737-300,ADVISED OF BIRD STRIKE AT APPROX 1700 FEET BY MAINT. CONTROLLER  FLT 600 WAS ON APPROACH INTO BOS WHEN BIRD STRUCK #1 ENG.  MAINT.  CHECKED A/C & FOUND NO DAMAGE.  CAPT DID NOT ADVISE DISPATCH OF  BIRD STRIKE.,Approach,10/14/1990 0:00:00,MA,300.0,135.0,None,Overcast,UNKNOWN BIRD,1
UCA,COMMUTAIR,BE-200 KING,FLT 592 TAXIING TO ACTIVE RWY HAD A SPARROW HIT THE A/C NOSE.  NO DAMAGE.,Taxi,7/10/1992 0:00:00,RI,0.0,12.5,None,,SPARROWS,1
BUS,BUSINESS,BE-58  BARON,NO DAMAGE NOTED.,Climb,6/30/1992 0:00:00,WI,100.0,120.0,Precautionary Landing,No Cloud,RED-TAILED HAWK,1
USA,US AIRWAYS,B-727,"NO DAMAGE. ASKED PILOT TO CALL TOWER FOR THIS INFORMATION, BUT WE  NEVER RECEIVED.  AIRLINE MAINT AT EWR CALLED TO GIVE THE ABOVE INFORMATION. # BIRDS STRUCK NOT REPTD, ASSUME 1. FLT 656",Approach,10/31/1990 0:00:00,NJ,300.0,135.0,None,No Cloud,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,B-727-200,"FLT1861 HAD NO DAMAGE. BIRD FOUND ON RWY. 1 REPORTS SHOWS EGRET,  ONE SHOWS GULL. TIME = 1147Z.",Take-off run,8/13/1992 0:00:00,WI,0.0,100.0,Aborted Take-off,Some Cloud,GULLS,1
LOF,TRANS STATES AIRLINES,SA227 AC METRO III,"IMMED. AFTER T/O, CREW REPTD FLYING THRU LRG FLOCK OF SMALL  BIRDS.  CREW HEARD NOISE & REPTD ODOR & MADE PREC. LDG.   ENG.WAS NOT SHUT DOWN. NO STRUCTURAL DAMAGE.  AN ENG TUBINE  BLADE WAS DAMAGED BUT WITHIN TOLERANCE. NO INJURIES.  CREW REPORT  IS ATTACHED. (DATA ENTRY NOTE: THERE IS NO CREW REPT)",Climb,3/22/1990 0:00:00,MO,200.0,160.0,Precautionary Landing,No Cloud,EUROPEAN STARLING,2-10
PVT,PRIVATELY OWNED,C-180,MINOR DAMGE TO VERT STABILZR. ASSUME BALD FROM LOCATION.,En Route,5/24/1992 0:00:00,AK,1000.0,120.0,None,No Cloud,BALD EAGLE,1
PVT,PRIVATELY OWNED,C-182 SKYLAN,"STRUCK WING AT WING STRUT.  NO DAMAGE. # BIRDS STRUCK NOT REPTD,  SAW 11-100, ASSUME HIT 1",Approach,7/27/1990 0:00:00,ID,10.0,70.0,None,No Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-767-200,NO DAMAGE.  BIRD SITTING ON RWY STRUCK BY NOSE GEAR.,Landing Roll,7/27/1990 0:00:00,CA,0.0,130.0,None,Overcast,TERNS,1
USA,US AIRWAYS,B-737,,Climb,5/19/1991 0:00:00,MI,3000.0,230.0,Precautionary Landing,No Cloud,UNKNOWN BIRD - SMALL,1
UAL,UNITED AIRLINES,B-727-200,STRUCK CAPT WINDSHIELD DEAD-CENTER (WINDOW 1L). VISIBILITY SOMEWHAT RESTRICTED. 1ST OFF. CONT FLYING FOR NORMAL LANDING. MX WRITE UP ENTERED IN LOGBOOK. MX INSPEC. AIRCRAFT.,Approach,5/17/1996 0:00:00,IL,3000.0,135.0,Other,,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE,Climb,7/4/1993 0:00:00,IA,100.0,150.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10
ABX,ABX AIR (was AIRBORNE EXPRESS),DC-8,FLT 376,Landing Roll,10/14/1993 0:00:00,NJ,0.0,105.0,None,Some Cloud,GULLS,1
BUS,BUSINESS,BE-58  BARON,STRUCK 4 GEESE ON LANDING ROLL. PITOT TUBE WAS BENT & NOSE GEAR  DOOR WAS DENTED.,Landing Roll,12/19/1992 0:00:00,CT,0.0,85.0,None,Overcast,CANADA GOOSE,2-10
BUS,BUSINESS,C-414,"NO INJURIES - 2 PAX. PILOT SIDE OF WINDSHIELD DAMAGED,  PILOT THOUGHT SOMETHING (DEBRIS OR A BIRD) HIT THE PROP & THEN  SHATTERED HIS WINDSHIELD.  CLE FSDO NOTIFIED. SUSPECTED BIRD  STRIKE UNABLE TO LOCATE BIRD.",Take-off run,3/15/1991 0:00:00,OH,0.0,120.0,Aborted Take-off,No Cloud,UNKNOWN BIRD - LARGE,1
AAL,AMERICAN AIRLINES,MD-80,HIT 4-6 BIRDS & ABTD T/O. MAINT INSPN AT GATE FOUND NO  DAMAGE. SEVERAL DEAD BIRDS FOUND ON RWY.  TIME OUT OF SERVICE 1/2  HR. COST OF FUEL $200.,Take-off run,8/1/1992 0:00:00,IL,0.0,80.0,Aborted Take-off,No Cloud,EUROPEAN STARLING,2-10
AAL,AMERICAN AIRLINES,FK-100,UNKN WHERE ON A/C BIRD STRUCK OR IF DAMAGE. FLT 512.,Approach,11/5/1993 0:00:00,IL,1600.0,170.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10
JAL,JAPAN AIRLINES,B-747-400,,Approach,9/27/1993 0:00:00,WA,1700.0,170.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
COM,COMAIR AIRLINES,EMB-120,A/C WAS 5 MI W OF AIRPORT. ATIS HAD NOTAM ABOUT BIRDS.,Descent,11/20/1993 0:00:00,VA,3400.0,200.0,None,No Cloud,UNKNOWN BIRD - LARGE,1
BUS,BUSINESS,PA-44 SEMINOLE,"PILOT CHECKED A/C, REPTD NO DAMAGE, & TOOK OFF.",Take-off run,12/4/1990 0:00:00,FL,0.0,120.0,Aborted Take-off,Overcast,EGRETS,2-10
AWE,AMERICA WEST AIRLINES,B-737-300,POSSIBLY A WARBLER OF THAT TYPE.,Approach,12/5/1990 0:00:00,CA,300.0,135.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,B-727,NO KNOWN DAMAGE. TIME = 1158 LCL.,Take-off run,5/22/1991 0:00:00,LA,0.0,130.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
MES,MESABA AIRLINES,DHC8 DASH 8,FLT 3396 STRUCK A BIRD ON DEPARTURE  AND RETURNED LANDING W/O  INCIDENT ON RY3L AT 0234Z.  NO EMERGENCY EQUIPENT WAS CALLED OUT.,Take-off run,4/28/1994 0:00:00,MI,0.0,120.0,Precautionary Landing,,UNKNOWN BIRD,1
UAL,UNITED AIRLINES,B-737,"NO DAMAGE, STRUCK WINDSHIELD ABOVE CO-PILOT'S SLAT.",Approach,5/27/1994 0:00:00,DC,2000.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,B-737,,Take-off run,5/27/1994 0:00:00,CO,0.0,120.0,None,,UNKNOWN BIRD,1
AAL,AMERICAN AIRLINES,B-727,NO DAMAGE OR INJURY,Climb,7/8/1990 0:00:00,IL,3000.0,210.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
ASQ,ATLANTIC SOUTHEAST,EMB-120,NO DAMAGE,Approach,5/10/1990 0:00:00,VA,10.0,100.0,None,Overcast,GULLS,1
PVT,PRIVATELY OWNED,C-195,IMPACT NOT NOTICED. FILTER CLEANED OF DEBRIS; OIL COOLER HAD  SEVERAL PARTS COVERING FRONT WHICH WERE EASILY REMOVED AND SOME  OF THE REMAINS WERE FOUND ATTACHED TO FIREWALL.,Approach,5/19/1990 0:00:00,CO,450.0,85.0,None,Some Cloud,WESTERN MEADOWLARK,1
BUS,BUSINESS,PA-23-250,"FLOCK OF 100 BIRDS TOOK OFF FROM RWY THRESHOLD AS I WAS FLARING  FOR T/D.  I HIT 1 OR 2 BIRDS WITH RT WINGROOT, RT ENG & PROP  SOME REMAINS ALSO ON STABILATOR.  NO DAMAGE.",Approach,8/9/1990 0:00:00,MI,30.0,90.0,None,Some Cloud,GULLS,2-10
AAL,AMERICAN AIRLINES,B-727,STARLING?  A/C REG 837 (COULD BE FLT NO.),Approach,2/29/1992 0:00:00,IL,200.0,145.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
BUS,BUSINESS,CITATION II,RADOME & NOSE REQD EXTENSIVE REPAIR. 1 BIRD WENT THRU #1 ENG. ENG  CONTD TO RUN W/VERY LITTLE CHANGE TO TEMPS & PRESSURES. ENG WAS  RETD TO P&W FOR INSPN. NO INJURIES. PILOT SAW WHAT APPEARED TO BE  WATERFOWL FORMATION JUST BEFORE IMPACT 6-8 BIRDS. ENG CONTD TO  RUN AT 60% TO 70%. THERE SEEMED TO BE SLIGHT VIBRATION. SINCE  TEMP & PRESSURES REMAINED SATISF. & WE DID NOT NEED ANY MORE  POWER WE DID NOT ATTEMPT HIGHER POWER SETTING.,Approach,2/5/1991 0:00:00,TX,4000.0,200.0,None,Overcast,"DUCKS, GEESE, SWANS",2-10
AAL,AMERICAN AIRLINES,B-727,NO DAMAGE. FLT 483.,Approach,9/11/1990 0:00:00,LA,400.0,155.0,None,Overcast,EUROPEAN STARLING,1
USA,US AIRWAYS,B-737-200,,Climb,7/29/1992 0:00:00,OH,20.0,155.0,None,Some Cloud,UNKNOWN BIRD - SMALL,1
USA,US AIRWAYS,FK-28-1000,THERE WAS DAMAGE TO L WIND ROOT.  DUCK WAS INGSTED INTO #1 ENG.  NO ENG. ABNORMALITIES.,Approach,6/12/1992 0:00:00,MD,15.0,135.0,None,Some Cloud,MALLARD,1
AAL,AMERICAN AIRLINES,B-727-100,  NONE,Approach,2/22/1991 0:00:00,CO,5600.0,120.0,None,No Cloud,SPARROWS,2-10
DAL,DELTA AIR LINES,B-737-200,"FLT 1431. JUST AFTER LIFT-OFF, HAWK WAS OBSERVED GOING FROM LEFT  TO RT UNDER NOSE OF A/C.  #2 ENG IMMEDIATELY STARTED WITH  COMPRESSOR STALLS.  POWER WAS REDUCED UNTIL COMPRESSOR STALLS  STOPPED.  RETD TO SLC.  #2 ENGINE WAS HEAVILY DAMAGED.",Climb,5/15/1991 0:00:00,UT,20.0,150.0,Precautionary Landing,Some Cloud,HAWKS,1
PVT,PRIVATELY OWNED,PA-28,,Climb,10/25/1993 0:00:00,CA,200.0,70.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
NAE,NASHVILLE EAGLE,MERLIN IV,BIRDS BELIEVED TO BE GEESE.  3 NW OF AIRPORT ON BASE LEG TO  RUNWAY 23.,Approach,10/15/1990 0:00:00,TN,1500.0,160.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
AAL,AMERICAN AIRLINES,B-727-200,"# BIRDS STRUCK NOT REPTD, ASSUME 1.",Landing Roll,4/7/1991 0:00:00,PA,0.0,120.0,None,No Cloud,GULLS,1
AAL,AMERICAN AIRLINES,B-727-200,"HIT 1 OF 2 PIGEONS CROSSING RWY AT LIFTOFF.  NO DAMAGE.  ALL  LANDING LIGHTS WERE ON, INFLIGHT WEATHER RADAR ON.",Take-off run,6/6/1991 0:00:00,FL,0.0,130.0,None,Some Cloud,ROCK PIGEON,1
PVT,PRIVATELY OWNED,PA-60 601,,Climb,9/26/1993 0:00:00,MN,25.0,150.0,None,Overcast,UNKNOWN BIRD - SMALL,2-10
UNK,UNKNOWN,EMB-120,"# BIRDS STRUCK NOT REPTD, ASSUME 1, SAME AS # SEEN.",Climb,10/25/1990 0:00:00,DC,1400.0,170.0,None,No Cloud,UNKNOWN BIRD,1
FDX,FEDEX EXPRESS,B-747,NO DAMAGE,Landing Roll,12/11/1990 0:00:00,MA,0.0,105.0,None,No Cloud,UNKNOWN BIRD,1
FDX,FEDEX EXPRESS,DC-10,ATIS WARNING. TIME = 0924LCL,Approach,11/4/1993 0:00:00,NJ,30.0,125.0,None,Some Cloud,EUROPEAN STARLING,2-10
UNK,UNKNOWN,ATR-42,,Climb,11/3/1993 0:00:00,MD,6000.0,180.0,None,Some Cloud,UNKNOWN BIRD - MEDIUM,1
BUS,BUSINESS,PA-32,NO DAMAGES,Climb,6/27/1990 0:00:00,PA,15.0,70.0,None,Some Cloud,ROCK PIGEON,1
USA,US AIRWAYS,FK-100,,Approach,4/21/1992 0:00:00,NY,50.0,140.0,None,Some Cloud,GULLS,1
AAL,AMERICAN AIRLINES,DC-9-80,NO DAMAGE NOTED - GLANCING BLOW ON F/O'S WINDSHIELD,Approach,8/9/1991 0:00:00,TX,400.0,130.0,None,No Cloud,BLACKBIRDS,1
BUS,BUSINESS,AEROS 355,DAMAGED NOSE AND BROKE CHIN WINDOW.  NO INJURIES. NO EFFECT ON  ENG OR FLIGHT CONTROL.,En Route,11/30/1990 0:00:00,NY,400.0,125.0,Precautionary Landing,No Cloud,GULLS,1
BTA,EXPRESSJET (CONTINENTAL EXPRS),DC-10-30,"CORE INGESTION. 6 FAN BLADES BADLY DAMAGED. ALL ???? REPLACED.  (PART OF FORM MISSING, TORN).  ALL ENG PARAMETERS NORMAL. AS A/C  WAS LANDING, NO FURTHER THROTTLE MOVEMENT WAS USED UNTIL REV.  THRUST. ID BY ROXIE @ SMITHSONIAN.",Approach,10/17/1991 0:00:00,NY,300.0,135.0,None,Overcast,HERRING GULL,2-10
NWA,NORTHWEST AIRLINES,DC-9,UNKN DAMAGE,Approach,11/20/1991 0:00:00,TN,1100.0,135.0,None,Overcast,DUCKS,1
BUS,BUSINESS,BE-300 KING,,Take-off run,10/18/1991 0:00:00,MA,0.0,100.0,None,,GULLS,1
AAL,AMERICAN AIRLINES,B-727-100,NO DAMAGE/INJURY. TIME = 1125 GMT,Take-off run,5/6/1991 0:00:00,TX,0.0,100.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
UAL,UNITED AIRLINES,B-757-200,FLT 1727 HAD NO DAMAGE & NO INJURIES REPTD. TIME = 0305Z.  HIT  3-4 GULLS.,Approach,12/10/1991 0:00:00,CA,100.0,130.0,None,No Cloud,GULLS,2-10
PVT,PRIVATELY OWNED,C-414,TIME = 0046Z. SOME DAMAGE TO LE. BIRD IS STUCK IN WHEEL WELL NOW.,Approach,12/10/1991 0:00:00,OR,300.0,135.0,None,,UNKNOWN BIRD,1
AWE,AMERICA WEST AIRLINES,B-737-200, NONE,Climb,9/17/1991 0:00:00,NV,7500.0,230.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
MES,MESABA AIRLINES,SA227 AC METRO III,"DURING TAKEOFF, SAW 2 GULLS ON CENTERLINE AFTER PASSING CREST OF  RWY.  RECOG & LDG LIGHTS ON, RADAR OFF.  BIRDS STRUCK A/C ON  NOSE GEAR STRUT & LEFT PROP TIP.  ABORTED T/O TO INSPECT FOR  DAMAGE THAT COULD AFFECT THE SAFETY OF FLIGHT.",Take-off run,8/9/1990 0:00:00,MN,0.0,80.0,Aborted Take-off,No Cloud,GULLS,2-10
NWA,NORTHWEST AIRLINES,DC-9,,Landing Roll,8/13/1990 0:00:00,MT,0.0,120.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
HAL,HAWAIIAN AIR,L-1011,"BIRD HIT JUST AFT OF THE RADOME, LEFT SIDE.  SUPERFICIAL PAINT DAMAGE.",Approach,8/10/1990 0:00:00,CA,2200.0,180.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
CDL,CCAIR,BA-31 JETSTR,"FLT 5137. A/C DEPTD & REPTD STRIKING A DEER. PILOT ELECTED TO  RETURN AND AFTER LANDING A/C WENT OFF RWY DUE TO LOSS OF  HYDRAULICS, STEERING & BRAKING. DAMAGE TO A/C WAS REPTD AS MINOR  AND NO INJURIES WERE REPTD.",Take-off run,10/2/1993 0:00:00,WV,0.0,120.0,Precautionary Landing,,WHITE-TAILED DEER,1
BUS,BUSINESS,CURTIS C-46,NO DAMAGE,Climb,7/11/1990 0:00:00,AK,300.0,150.0,None,Overcast,ARCTIC TERN,2-10
USA,US AIRWAYS,B-737-200,NO DAMAGE,Take-off run,8/23/1990 0:00:00,,0.0,80.0,Aborted Take-off,Overcast,UNKNOWN BIRD - SMALL,1
AJM,AIR JAMAICA,B-727,NO DAMAGE/INJURY.,Landing Roll,4/21/1991 0:00:00,FL,0.0,119.0,None,No Cloud,GULLS,1
COA,CONTINENTAL AIRLINES,B-737-200,,Approach,7/29/1992 0:00:00,NE,300.0,135.0,None,Some Cloud,UNKNOWN BIRD,1
NAE,NASHVILLE EAGLE,SAAB-340,FLT 4678 STRUCK 2 DOVES,Approach,4/20/1992 0:00:00,TN,100.0,100.0,None,No Cloud,MOURNING DOVE,2-10
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE NOTED. BLOOD STAIN ON FUSELAGE JUST FORWARD OF CAPT'S  EYEBROW WINDOW.,Descent,4/20/1992 0:00:00,CA,10500.0,270.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
DAL,DELTA AIR LINES,B-727,"PRIOR TO IMPACT, CAPT SAW A WHITE STREAK THEN HEARD A LOUD THUMP.  NO SYSTEM DEGRADATION. AFTER LDG, NOTICED BIRD HIT WHERE RADOME  MEETS FUSELAGE. CORNERS OF ALUMINUM FUSELAGE SKIN WERE PEELED  BACK A COUPLE OF INCHES. BIRD WAS PROB. A GOOSE, DUCK OR OWL.",Climb,11/22/1991 0:00:00,KY,6000.0,250.0,None,Overcast,UNKNOWN BIRD - LARGE,1
USA,US AIRWAYS,B-737-300,#1 ENGINE HAD CORE DAMAGE. 8 BLADES DEFORMED. INCREASED VIB.   #2  ENGINE COWLING HAD HIT MARK . FLT 812.,Climb,10/19/1990 0:00:00,OR,200.0,160.0,Precautionary Landing,Some Cloud,GULLS,2-10
AAL,AMERICAN AIRLINES,MD-80,NO REPTD DAMAGE,Approach,8/7/1993 0:00:00,TX,50.0,130.0,None,Overcast,MOURNING DOVE,1
BUS,BUSINESS,BE-1900,,Approach,5/30/1992 0:00:00,NE,1500.0,160.0,None,Some Cloud,BARN SWALLOW,1
USA,US AIRWAYS,FK-100,,Landing Roll,11/7/1993 0:00:00,MO,0.0,100.0,None,No Cloud,HAWKS,1
UCA,COMMUTAIR,BE-1900,ATIS WARNING.  FLT 584.,Approach,9/10/1993 0:00:00,NY,50.0,100.0,None,Some Cloud,GULLS,2-10
PAA,PAN AM,B-727-200,A/C HIT BIRD ON RAIL BETW RT HAND WINDSHLD.   NO DAMAGE. TWR NOTIFIED DURING ROLLOUT WITH FOLLOW UPCALL TO  TWR AFTER LDG.,Approach,8/29/1990 0:00:00,NY,3.0,140.0,None,Some Cloud,LAUGHING GULL,1
AAL,AMERICAN AIRLINES,B-727,  A SMALL BIRD STRUCK THE LOWER NOSE AREA OF THE PLANE WHILE FLYING APPROACH TO LANDING.  BIRD IMPACTED NOSE STRUT AREA ALSO BUT CAUSED NO DAMAGE TO EITHER AREA.  NORMAL LANDING WAS MADE.,Approach,3/23/1991 0:00:00,TX,200.0,135.0,None,No Cloud,UNKNOWN BIRD - SMALL,1
AAL,AMERICAN AIRLINES,MD-80,NO DAMAGE/INJURY,Approach,10/26/1990 0:00:00,OR,300.0,140.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
USA,US AIRWAYS,DC-9-30,"ARPT = IHO OR IHP OR IHD. POSTMARK IS PITTSBURGH, PA",Climb,8/22/1990 0:00:00,,10500.0,280.0,None,No Cloud,UNKNOWN BIRD - MEDIUM,1
